"","Years","spi_1","spi_3","spi_6","spi_12"
"1",1901,0.38184490652148,NA,NA,NA
"2",1902,-0.0509134711662901,-0.0326507748703258,0.108712811786049,0.278042675260889
"3",1903,-0.470521221523071,-0.820139496251007,-1.0916382483574,-1.31694174984312
"4",1904,-0.183327821627877,-0.278480267919287,-0.176816236480567,0.0746805883799143
"5",1905,-0.0190627744055517,-0.111719858130421,-0.343964531450284,-0.817557135814986
"6",1906,0.0212957297475482,-0.0432231716699953,-0.192596597348631,-0.367423658368487
"7",1907,0.116972606371135,0.373400552091949,0.928612122985037,1.37468533016586
"8",1908,-0.197309056674969,-0.281230579082427,-0.48432859883811,-0.6175638996184
"9",1909,0.41644220562704,0.621796707355931,0.977153349998512,1.26361233981908
"10",1910,0.096398664913046,0.263536089440597,0.300587067352801,0.611368769164183
"11",1911,0.368537382030339,0.602312334178906,0.680827521073755,0.472147558823936
"12",1912,-0.331111899349562,-0.665207091056439,-0.61179464278443,-0.235987968086224
"13",1913,0.0368447342198138,0.217174794889468,0.0241578151636582,-0.35466170735639
"14",1914,0.173644575161693,-0.117318551378128,-0.336451133869897,-0.631481231850904
"15",1915,0.014558223727804,0.103522764661264,0.191503496924018,0.509659290182665
"16",1916,-0.377398089358303,-0.699767252378182,-0.828601819770691,-0.97692244146486
"17",1917,0.875506868020396,1.20131130591039,1.19134178234373,0.711982829339013
"18",1918,0.389564377169449,0.761167206140692,1.13381711851768,1.75397596635545
"19",1919,-0.685986965262029,-0.944024687243196,-0.982683018277094,-0.635128350383926
"20",1920,0.13216192755497,0.121825059397368,0.0902324673859158,-0.0863922106925963
"21",1921,0.395837557458824,0.410158690728688,0.531189431430781,0.467917622679114
"22",1922,-0.142674402259801,-0.0961257032911193,-0.244691787688198,-0.164529085945016
"23",1923,-0.0430035540424634,-0.063783020440723,0.228787059977791,0.608821548939078
"24",1924,-0.0937725555034664,-0.322306354057119,-0.618741225512391,-0.935489143804832
"25",1925,0.453910504579196,0.965689800354575,1.40910814204535,1.5434912120384
"26",1926,-0.347889969481006,-0.645051610666124,-1.01211144620943,-0.892419158294977
"27",1927,-0.525914456022217,-0.752002317176025,-0.89696648245007,-1.06939182270116
"28",1928,-0.314961575026575,-0.425838615497994,-0.409009803234779,-0.461693423920303
"29",1929,0.4642165176068,0.624501928805991,0.426736223764752,-0.324313663279006
"30",1930,-0.325273113638906,-0.455059230209678,-0.323485700650561,0.223580138571408
"31",1931,-0.201813278445567,-0.191608256615259,-0.372826508727715,-0.690107016158645
"32",1932,-0.270090842749422,-0.344545449120364,-0.493394040162211,-0.637043606304285
"33",1933,-0.495458651591156,-0.944719526416961,-1.33861692808648,-1.71521018043122
"34",1934,0.503282357978002,0.847554649706211,1.09883145633965,1.26741438384733
"35",1935,-0.211837842949439,-0.188737110682383,-0.00535824394116934,0.206384378941209
"36",1936,0.0136667050226247,0.0762210120081103,-0.141770023239235,-0.40782654163628
"37",1937,-0.356926768206043,-0.595227520739459,-0.376376840269408,0.352521710183154
"38",1938,0.122700791270198,0.115111975140768,-0.0831606439152531,-0.526966705466895
"39",1939,0.461510814589121,0.818137264830949,0.988901444736741,1.02747092122432
"40",1940,0.0599913543857878,0.141122146599483,0.254161246201388,0.431420062634792
"41",1941,-0.207846738835219,-0.164140721362997,-0.108837390942398,0.160153358678203
"42",1942,0.466386309097086,0.458957714346306,0.287843483593982,-0.151892667837189
"43",1943,0.738050990011156,1.14276052249981,1.28220524850504,1.15937581816929
"44",1944,-0.110703321902219,0.301960204391313,0.598466311391151,1.31150224843403
"45",1945,-0.651418176434717,-1.06635007931823,-1.10372578062507,-1.02939851177423
"46",1946,-0.261086333042352,-0.513397243651184,-0.726065864062043,-0.962968522566144
"47",1947,0.0566907389698886,-0.126768336000762,-0.349899702457963,-0.814673508542485
"48",1948,-0.348702467795782,-0.21487203476696,0.0661187161681172,0.468030596569337
"49",1949,-0.295765310522772,-0.764271627498457,-1.08079823942292,-1.34475916933375
"50",1950,0.46802549038874,0.706881695496786,0.817126785782,0.444815754791093
"51",1951,-0.196363251265555,-0.0732928258087295,-0.14167169010057,0.102326854624765
"52",1952,-0.0301718836446007,-0.319131802663791,-0.596984391760156,-1.00764867626793
"53",1953,0.163258654205382,0.196872359460469,0.138617871126183,-0.0183678345389639
"54",1954,0.109550350136851,0.258916941945029,0.470541022176399,0.607991718384521
"55",1955,0.427679806992812,0.479190397334306,0.561805359208536,0.859170556275193
"56",1956,0.253536621012577,0.443339014997041,0.634497564401107,0.86435111859248
"57",1957,0.579028673414,0.939297331057053,0.971763366968488,0.775794428923238
"58",1958,-0.156769924283417,-0.233057562545011,-0.0222807066762277,0.608176013322764
"59",1959,0.0395604652186877,0.180333291263929,0.182801373490206,-0.0424309613169913
"60",1960,0.018098910765327,-0.106900942419449,-0.236080549173953,-0.293995572113355
"61",1961,0.383800292633803,0.665701751136089,0.877274726561973,0.753945778315061
"62",1962,-0.209639350310227,-0.242696705260574,-0.418234812874558,-0.171010299061914
"63",1963,0.362231763478916,0.613893736086084,0.733224598154888,0.674378323107983
"64",1964,-0.169458103354306,-0.175098886607456,-0.4141219099517,-0.459370410236341
"65",1965,-0.347757279536079,-0.494950367822534,-0.615856233750808,-0.887733792447226
"66",1966,-0.437507956616541,-0.814199936749267,-1.06597625214019,-1.10534929336263
"67",1967,0.353812892557223,0.618180201618804,0.954511151635317,0.888328955790371
"68",1968,-0.232566990290636,-0.426083710014627,-0.6739243968978,-0.781340491517866
"69",1969,-0.205849408144367,-0.273609036912672,-0.391222753558609,-0.560167226605721
"70",1970,-0.178857161953513,-0.479889493909431,-0.873978167315617,-1.43533948062898
"71",1971,0.307922491548524,0.493112946290062,0.548766037601734,0.37368285486867
"72",1972,-0.327930943505078,-0.390389527868661,-0.0959241460744845,0.730334170893535
"73",1973,0.00249798490672816,-0.136070040805089,-0.477736885988189,-1.15280437099362
"74",1974,0.753395527328932,1.31792218621386,1.89996917331231,2.56845931194506
"75",1975,0.433891381195895,0.51523145188135,0.665424332200935,1.08656568418333
"76",1976,0.864562292278745,1.562169762246,2.19418056258429,2.97447185941416
"77",1977,0.442516014205864,0.612563624716897,0.849739410852805,1.26777858297289
"78",1978,-0.0892914761989148,-0.0170232203744859,0.258533372488563,0.784584306763662
"79",1979,0.0804010085428711,0.0900458668849858,-0.130808658435309,-0.671576767096569
"80",1980,-0.346698257471823,-0.482241037837264,-0.575297063320213,-0.520176903029639
"81",1981,0.322713452864417,0.55281812400206,0.707207813363092,0.613802306516329
"82",1982,-0.331876444022955,-0.281291584519017,-0.436374550692557,-0.544146693800172
"83",1983,0.0193177669641721,-0.292249088633569,-0.720846380528665,-1.43440285686987
"84",1984,-0.212965976374235,-0.149058554922616,-0.199491118117665,-0.199010611888628
"85",1985,-0.0256523443837222,-0.291302762519248,-0.435267299110091,-0.489697433319918
"86",1986,-0.111892718997259,0.0800208776600168,0.0991734186235674,-0.016491200065366
"87",1987,0.0861470860201284,0.162551132548316,0.0799064364716243,-0.427635902841898
"88",1988,0.538197848206362,0.772574555895882,1.15123069870068,1.43118901998828
"89",1989,0.166441855173478,0.360821655227811,0.639547872113498,1.21995771371872
"90",1990,-0.443342242352991,-0.632975787058277,-0.50082840727459,-0.233558939409911
"91",1991,0.0116700154128703,0.158690122096835,-0.0148022271875352,-0.141225228485816
"92",1992,-0.777961769976741,-1.20304105294607,-1.47518009018433,-1.67129238662098
"93",1993,0.025211552032076,-0.172905423356029,-0.48790997163882,-1.22314212816718
"94",1994,-0.480387885021824,-0.650102936123602,-0.422329351698174,0.150968220298396
"95",1995,0.0698293056106883,-0.204478896111016,-0.593873289353044,-1.25586828726996
"96",1996,0.415343770860783,0.698299879439938,0.894049837551954,1.13828688166083
"97",1997,0.207532414273693,0.481480466632217,0.809079652623508,1.07483963653226
"98",1998,-0.0196430785164298,-0.197047475414311,-0.289077352078699,-0.0895255736362278
"99",1999,-0.167548167170699,-0.341652877031452,-0.387610761318185,-0.408265886744386
"100",2000,0.427250393035159,0.803188379075231,1.30336400718707,1.75948086429374
"101",2001,0.461692138105899,0.619855304558606,0.558108640181387,0.339092929809237
"102",2002,0.00816209897725692,0.0799848778579006,0.32955047958783,0.728428656705503
"103",2003,-0.43220525342573,-0.591480421757093,-0.804958225103158,-0.878854223876231
"104",2004,-0.0687512422573206,-0.252531048664193,-0.26759597218559,-0.328276064351177
"105",2005,-0.479390961544196,-0.63057373804347,-0.529902003512062,-0.304207174685269
"106",2006,0.433715347730081,0.649600009339359,0.660380261297212,0.447531800314221
"107",2007,-0.0427821540268833,-0.109632091062661,-0.328090757931539,-0.468577865246173
"108",2008,-0.0237534133461243,-0.12247593156809,-0.0351837724764242,0.14815505134653
"109",2009,0.0345420383948217,0.0106667056227997,-0.114829919797686,-0.194115722461282
"110",2010,-0.0643435876823989,-0.271875685675588,-0.164300279350939,0.111354102806883
"111",2011,0.503892921499625,0.752081005002237,1.02026443482796,0.990936280940505
"112",2012,0.135857652740589,0.129645866713138,-0.14019121396438,-0.184579140473988
"113",2013,-0.268749004069926,-0.527928556143425,-0.572056157051035,-0.416663893972319
"114",2014,-0.0750139525479196,-0.148824129204121,-0.169002418348426,-0.214165473045772
"115",2015,-0.307891729802347,-0.28819882387425,-0.408592621598143,-0.68888297662866
"116",2016,-0.146560526256194,-0.434920077173766,-0.685766282087818,-0.892406738429156
"117",2017,-0.339943573961217,-0.545250442893152,-0.591536650097462,-0.422663941815674
"118",2018,-0.468716161652758,-0.672353851411196,-0.698181302432746,-0.836011322962866
"119",2019,-0.553900923773861,-1.04000479671224,-1.25987222634525,-1.47434467742326
