"","t","Year","spi_1","spi_3","spi_6","spi_12","va","gdp"
"1",1,1961,0.383800292633803,0.665701751136089,0.877274726561973,0.753945778315061,3.714986883,3.844751462
"2",2,1962,-0.209639350310227,-0.242696705260574,-0.418234812874558,-0.171010299061914,5.670691906,6.177883095
"3",3,1963,0.362231763478916,0.613893736086084,0.733224598154888,0.674378323107983,3.242992819,7.373612785
"4",4,1964,-0.169458103354306,-0.175098886607456,-0.4141219099517,-0.459370410236341,-11.45389275,7.939781669
"5",5,1965,-0.347757279536079,-0.494950367822534,-0.615856233750808,-0.887733792447226,1.110688796,6.122760827
"6",6,1966,-0.437507956616541,-0.814199936749267,-1.06597625214019,-1.10534929336263,7.869016791,4.438308267
"7",7,1967,0.353812892557223,0.618180201618804,0.954511151635317,0.888328955790371,25.0058081,7.196575941
"8",8,1968,-0.232566990290636,-0.426083710014627,-0.6739243968978,-0.781340491517866,-11.9687771,4.153444814
"9",9,1969,-0.205849408144367,-0.273609036912672,-0.391222753558609,-0.560167226605721,4.75721323,4.715830609
"10",10,1970,-0.178857161953513,-0.479889493909431,-0.873978167315617,-1.43533948062898,-6.650544135,5.248674135
"11",11,1971,0.307922491548524,0.493112946290062,0.548766037601734,0.37368285486867,18.76439263,4.278970429
"12",12,1972,-0.327930943505078,-0.390389527868661,-0.0959241460744845,0.730334170893535,-0.639258339,1.654762041
"13",13,1973,0.00249798490672816,-0.136070040805089,-0.477736885988189,-1.15280437099362,-12.6600805,4.571997811
"14",14,1974,0.753395527328932,1.31792218621386,1.89996917331231,2.56845931194506,30.37634409,6.111054461
"15",15,1975,0.433891381195895,0.51523145188135,0.665424332200935,1.08656568418333,-8.579461775,1.695448177
"16",16,1976,0.864562292278745,1.562169762246,2.19418056258429,2.97447185941416,-2.41937846,2.249904054
"17",17,1977,0.442516014205864,0.612563624716897,0.849739410852805,1.26777858297289,11.7514633,-0.094037534
"18",18,1978,-0.0892914761989148,-0.0170232203744859,0.258533372488563,0.784584306763662,4.007520817,3.014548966
"19",19,1979,0.0804010085428711,0.0900458668849858,-0.130808658435309,-0.671576767096569,-2.166726925,3.790503812
"20",20,1980,-0.346698257471823,-0.482241037837264,-0.575297063320213,-0.520176903029639,9.978090436,6.620585081
"21",21,1981,0.322713452864417,0.55281812400206,0.707207813363092,0.613802306516329,5.782108826,5.360737419
"22",22,1982,-0.331876444022955,-0.281291584519017,-0.436374550692557,-0.544146693800172,-8.445271374,-0.383390769
"23",23,1983,0.0193177669641721,-0.292249088633569,-0.720846380528665,-1.43440285686987,-22.7063197,-1.846544477
"24",24,1984,-0.212965976374235,-0.149058554922616,-0.199491118117665,-0.199010611888628,11.40182121,5.09911491
"25",25,1985,-0.0256523443837222,-0.291302762519248,-0.435267299110091,-0.489697433319918,20.33732443,-1.211483719
"26",26,1986,-0.111892718997259,0.0800208776600168,0.0991734186235674,-0.016491200065366,6.589332696,0.017834778
"27",27,1987,0.0861470860201284,0.162551132548316,0.0799064364716243,-0.427635902841898,2.544597779,2.100735221
"28",28,1988,0.538197848206362,0.772574555895882,1.15123069870068,1.43118901998828,2.805313027,4.200132549
"29",29,1989,0.166441855173478,0.360821655227811,0.639547872113498,1.21995771371872,14.70168792,2.394784159
"30",30,1990,-0.443342242352991,-0.632975787058277,-0.50082840727459,-0.233558939409911,-7.13516924,-0.317785676
"31",31,1991,0.0116700154128703,0.158690122096835,-0.0148022271875352,-0.141225228485816,4.466159103,-1.018219873
"32",32,1992,-0.777961769976741,-1.20304105294607,-1.47518009018433,-1.67129238662098,-27.2600329,-2.137056889
"33",33,1993,0.025211552032076,-0.172905423356029,-0.48790997163882,-1.22314212816718,23.93255371,1.233519913
"34",34,1994,-0.480387885021824,-0.650102936123602,-0.422329351698174,0.150968220298396,7.899999907,3.200001049
"35",35,1995,0.0698293056106883,-0.204478896111016,-0.593873289353044,-1.25586828726996,-19.8999999,3.099995418
"36",36,1996,0.415343770860783,0.698299879439938,0.894049837551954,1.13828688166083,23.99999983,4.299998961
"37",37,1997,0.207532414273693,0.481480466632217,0.809079652623508,1.07483963653226,0.900000183,2.600002116
"38",38,1998,-0.0196430785164298,-0.197047475414311,-0.289077352078699,-0.0895255736362278,-5.30000001,0.500000905
"39",39,1999,-0.167548167170699,-0.341652877031452,-0.387610761318185,-0.408265886744386,6.200000009,2.399996245
"40",40,2000,0.427250393035159,0.803188379075231,1.30336400718707,1.75948086429374,4.699999963,4.200003476
"41",41,2001,0.461692138105899,0.619855304558606,0.558108640181387,0.339092929809237,-3.300000029,2.699994567
"42",42,2002,0.00816209897725692,0.0799848778579006,0.32955047958783,0.728428656705503,6.499999957,3.700382352
"43",43,2003,-0.43220525342573,-0.591480421757093,-0.804958225103158,-0.878854223876231,0.681069552,2.949079137
"44",44,2004,-0.0687512422573206,-0.252531048664193,-0.26759597218559,-0.328276064351177,0.859440044,4.554552745
"45",45,2005,-0.479390961544196,-0.63057373804347,-0.529902003512062,-0.304207174685269,2.809785598,5.277056312
"46",46,2006,0.433715347730081,0.649600009339359,0.660380261297212,0.447531800314221,-5.462780228,5.603797657
"47",47,2007,-0.0427821540268833,-0.109632091062661,-0.328090757931539,-0.468577865246173,2.97916197,5.360475891
"48",48,2008,-0.0237534133461243,-0.12247593156809,-0.0351837724764242,0.14815505134653,19.41150816,3.191046741
"49",49,2009,0.0345420383948217,0.0106667056227997,-0.114829919797686,-0.194115722461282,-1.892281728,-1.538089334
"50",50,2010,-0.0643435876823989,-0.271875685675588,-0.164300279350939,0.111354102806883,-0.300341362,3.039730814
"51",51,2011,0.503892921499625,0.752081005002237,1.02026443482796,0.990936280940505,1.994030064,3.284168142
"52",52,2012,0.135857652740589,0.129645866713138,-0.14019121396438,-0.184579140473988,1.763397374,2.213354808
"53",53,2013,-0.268749004069926,-0.527928556143425,-0.572056157051035,-0.416663893972319,4.479899326,2.4852005
"54",54,2014,-0.0750139525479196,-0.148824129204121,-0.169002418348426,-0.214165473045772,6.80147062,1.846991604
"55",55,2015,-0.307891729802347,-0.28819882387425,-0.408592621598143,-0.68888297662866,-5.87927928,1.193732801
"56",56,2016,-0.146560526256194,-0.434920077173766,-0.685766282087818,-0.892406738429156,-10.08180102,0.39908793
"57",57,2017,-0.339943573961217,-0.545250442893152,-0.591536650097462,-0.422663941815674,21.07456652,1.414512626
"58",58,2018,-0.468716161652758,-0.672353851411196,-0.698181302432746,-0.836011322962866,-4.752302298,0.78705557
"59",59,2019,-0.553900923773861,-1.04000479671224,-1.25987222634525,-1.47434467742326,-6.888467036,0.152583317
